concatenated_bitstrings;num_included;num_excluded;duration
011001110100000101001111100100000001010000000110000011010100001000001000101001010010111011100000001010101000001100101001111100110000001011010000110010011000010001100000000011110000100000000100001000111001001100101000,1100100100000001000111110010100010101001000010001111010001110010011101111100001000101011100100110101010011100000,01010000110010000001001001111110000001011101011111110010,10000010101001011001111110101101011100011101000100011101,00010110101111100010100001000111,0101000100010100000111110100101101110001,1011001000101000,1110000110000010,01110000,00000010;50;100;0.005007505416870117
100011001100100011100001011010000000001010101010101010100010000100010100010100001110100100000000010010101010111001110000000010101011001010011110100001100001000011001001101010000100000010000110001010000100011110111001,000111100110111010000010011111010101011110111110010100101000000111011111010100011100001010110101010101010001100100100101,11100101000001000011010010001110111110100001000101001001,10001001011011000101000111011010110100100011110110001010,11110011000110010010111001001110,101000011000001001111110,0110100010001111,01011010,11100011,01000100;50;100;0.0050203800201416016
101000000010001000001001011100100110010110100101100100110000010001010000100000000000100000010010100100110000001010101001000100000110101000101000111001101010100010010101010110001100111011100100000011010101100000110010,11101100000001000101000111010001101100001010100011100011000101101100011100000010111101100011101101000001,000011011100001111010000100100010101100110101001111001011111000100101000,111000001101110001001111001000101101000110110000,0111011111010111111010000100000010001111,00111000001000011001011010011000,0111100010010010,0001000100111000,00011010,00100000,00010000;50;100;0.005536556243896484
100000001001010101101000010000010000001100000110000100101110100001100101011010001100000000110001101001010000010001100000010101100000100001001111001000001101110001000101000101010000000110100101111111110110000000000100,0010100001100101100110011010010011001110111100111100010111110011111100110101111110000010111001100100000001001010,1000001000111111100011000011101000101000001010011001100111001000,110100100101101000001011000100010011001100001110,000110100100010000111010,011001000010100110011011,10100001,01001000;50;100;0.005074501037597656
000110000110000000010000111100100001010011101010000101111011100011011000011101100010000111100000000010101001011100010111000100111100010001010100011011100100001000000101000101110110011110110101010000100000000000001000,0111110111011000000010100000000110001110000010111011000101100101101111100010001111011101011101000000011101001001,11011101110000101100001001111100100011000101000010011110111001100011100111001100,10101100000111011111110101100011010001001110010100000000,100010110011101100101000100110111101010011111000,0110100001100101001010101110100011000101,101011101000011010001111,11000010100001000101111011100100,0011010001011010,0111110000000011,00110000,01000000;50;100;0.0050013065338134766
111011000010101000000001011110000001000000010100010010000000110000001101010001010001001000010001000001001000001100011000010100000000000101101000001011111011111011001011111001100000100110000100011100001100100100010100,111011100100110000100111000011100101100101010111011110001100001101100100010110011100110011001101,0110111001100000101100101000000001110010110100100110110011111011101100101111000010001000,0100001011010100001110100101011110010111,010110000010011001101011110100001011110100101110,1111101010100010,11001010000101000101110001001001,0010100010010110,0101010000010010,10000010;50;100;0.006573677062988281
110111001000100110101000000100000010010000010001001000011001001001101110101110010000001111110100001000001000100101000011100011000001110010010001111000101010010100010000110110010010000100101000001110000010001000010101,111000101110111010111111001100011011010010100111000100001011010111101100100111001010001100000010,0000001111010111110100010001001110001101100110110011000011000001,0101010111100100111000100101100001011001,01110011011010010111000100000101,110000001001101100111010,0111110100110010,00111000,10100001,00000100;50;100;0.005057096481323242
100100011001101001001100000000100111000001110001000110111100010000010110010010011101010000001001001101100010001110101100001010010100000101110000000110010001000000010100101000000101010001101010101010000100000010011101,1010011000100000011000001010110010100011100010010110100010011000110101111111110100101101101011111010100111100100,100101111100010000110000000100101110001011011000010101111011101010011010,111001000010001001111111100110010110011011100011,0000100100110100111111110001010010000101,10010011101010000100001100110111,001000100000101110010010,10011000,11100011,01100000,10000110,00000010;50;100;0.007018089294433594
010110000111100010101011000100010001000000011011101000000000111001001011010111100110000100000100011100011111001110000000100110000000000001000010011000000011000101111100000000010001001010101101001011110110010001010001,1000001100011101011101100110100001010100000011001111100001011000110110000101011001100010010111010011010101001101110101001010011000011101,00111110001111011111110000011001110011101000001011001111100000010100000101001001,111111110001101000111000110110000000000000010111110010001010101110101011,0000110101010100101101001000001111010100,1100001110011100000100011100010110010001,001001001100100010011100,0100100110011101,00010111,00110110,10000001,00010000;50;100;0.012745857238769531
101100000001110100000001001011100011111000001010100110000110111010001110001000110100001100100100001011010111001101000000001001010001010010100011110000000000110000100011101000100110001101100011100100000000000011001000,1110100110000011001111001010100001101101000100001101101100110011110000011011000100111111100110011000000111110100,110000100011011001001000110001010100100001110001011100001111011010111111,01100111111100010001001011001101111010001110111000110000,01000110011100011010100111011000,100111011101010110001001,0010001101001101,00101100,10000011,00001110,00000001;50;100;0.006112337112426758
