cascade1_bitstrings;cascade2_bitstrings;r1;s1;r2;s2;duration;total_tries;identical
100101100101101010111000000010011010010000001010110011000001010010000000000110100001011010001010001101111010001000000010000010110111001010001000110101101101100000100000010001010100100000100001001100111010100110101010,00100000011100111101100010011111001001000000101000111110010100011100110110100100110111010011010011001001001101100000000000000000,1011000000111001010101101110001000101010000010011101010101001100000000000000000000000000,1011000101111101001101100111000000011000111010100000000000000000,010000100110000110100111110101100000000000000000,0100100011101010101001100000000000000000,101100100001001100000000,000100001111100000000000,1010001100000000,0001001000000000,00000001,00000000,00000000,00000000,00000000;0000001001011011001001110001001110000100100100000100101001001011101101000110111000101100000000110100000100010000000000000001000110110010100010111101101101010011000000010010000011000000101100101111100000011000000001000000000000000000000000000000000000000000000000000000000000000000,00111101111001101001000001010110110100000011111011110101110111011010000110001110010101010101000110010001100001000000000000000000000000000000000000000000,001010000111111100100110010111000000011010110011100000111110111011100010110101010000000000000000,101010011111000011100001101110101101000101110110010000011110110000000000,11101001010100110000010111011011100001100000000000000000,1100110000011000000000000000000000000000,11100000110000110000000000000000,000110010000000000000000,1001010000000000,00000000,00000000,00000000,00000000,00000000,;50;100;50;100;0.027700424194335938;3;1
100100001100100010100000101010000101000001001100101010001000100001011111000111000000110010111011000011000001010001000000110001110010011000101000111101110000000101101000100100101000010001100000100001010111110100011100,11010010110010010111011110001000010110110000110101110010011001011000010101001111100010100100111111010101010000000000000000000000,0110011010101000011101111101111110000110011010000111000110100110011110100000000000000000,0000100111011010100000000100100100111001011101010101100111000111,001010011111001110011000000000000000000000000000,1101000101010110111100100111010001010010,111010010000100000000000,001100011110001100000000,0010100000000000,0000001100000000,00010000,00000000,00000000,00000000,00000000;1010111101000110000101010100011000000100011110110111001000100110100000101000100100011100100000101101010101001010000000110100001000100111010001010011000101010110010000000011001010000000001000000010000100000001000110000000000000000000000000000000000000000000000000000000000000000000,00010101100000111111001011101001110100001001011111101100001010111010011011001000111111010010101001000010000000000000000000000000000000000000000000000000,010001010110001100111101111001001000011011000010011001101010010000111101100110110000000000000000,000000101100011100011100000000110011000110101010110001000000000000000000,01001001100010100101001101100100011001110000000000000000,0101101110000110110110110000000000000000,00001100100111110000001000000000,100111100000000000000000,1010010100000010,10000101,00111001,01000000,00000000,00000000,;50;100;50;100;0.010063648223876953;2;1
100110001110000010110001110110011100000010000100100010000100110100000001101101000100101000001100011001000100101010000000110010010110001011010110010010000000010001010001000000000001010111001000110100001001001101101111,01110010110000111100001101100001010111111110001001011101010011010101000000010010110110101111010001011101001000000000000000000000,1101001101111110101101000011010001101000101101000110110010010001000000000000000000000000,1000110000001101001010001000111110010100101001111011010000000000,101000111101111000001100000000000000000000000000,1001010101100110001011100000000000000000,011001010001011000000000,000011110010110100000000,0110111000000000,1110100100000000,10011010,10110000,00000010,00000101,00000000;0010011101101100010110100101000000000011101000000010000110010000010010100000010001111000010111100001110001101110000001111000000100000001001100010010110100001110000011111000000010001100110010011111000110010000100010000000000000000000000000000000000000000000000000000000000000000000,10101010111101100001010110111010111011000011110100100000100101111011011000011010010100001111000101110101101000100011010000000000000000000000000000000000,001110000011110000110101000001111011111000101100001111100000111010000010100011101111101100000000,001100000101011000000110110110000000111111100011001101101110011000000000,10000001001011001111100101010011110011111100110100000000,0001011001111001101011001010000111001101,00101110001110110001001000000000,111111001000110000000000,0010001100000000,10010010,00100001,00000000,00000000,00000000,;50;100;50;100;0.0185394287109375;2;1
010100111110000000000000011001100010010101101000000001001011110101011101100000001111010101000011101110011100010010001010010111000000100010000011101000010101001000001110100000111000001100100101010101011100000100001101,11001011000000100010111101110010001111110011100000111100100110000001010010000100010101111111111010001001101110110110010101011100,1100011100111011100111000001000101010101101110010100001000011011010100010000000000000000,0101010011011101010101011100101011100000011010000000000000000000,011000100001001100011001100110100111101100000000,1100010110011000010100100000000000000000,011000000111100110100101,111100000000000000000000,1100000011000101,1010000000000000,01110010,00010011,10000110,00001000,00000001;1011001100000101001000011010000101111111010010100001001000100111101111000100101001101100000101110101101101110010000010011011100011001001001000000000101100000010000000000110000001101000101100000010000000011001000000000000000000000000000000000000000000000000000000000000000000000000,01000011110011100010110011000110010001011011000111011000010010010101011011111101011011111110001000110001000010110000000000000000000000000000000000000000,111100010011010010010100011010001111010100010000111100010000111100101001001110000000000000000000,010100111101100010110110000110111010011100110110001011010000000000000000,00011010011110011101110001111100100000110000000000000000,1010010011011111010000001001111000000000,11000010000000101011011100000000,100101100110011000000000,1110001100000000,11111000,10000011,00010000,01000000,00000100,;50;100;50;100;0.01914215087890625;2;1
001001001110000100000000010010000000100110010101011010111011100101101101001000000001000100110000000100000011000011111010100001001100001100100001100000001100101001010001000000001011110101000001100000100110001010101000,10101011111111100000010010111001001100010010100111110011101000101110111111101111000100000100001010001001001110100000000000000000,0011011000001100101110010101010110010000010100010000011000110111000000000000000000000000,0101010011100111001110101011000010110001000000000000000000000000,011011000110101011100111000000000000000000000000,1111010001110100001000100011100000000000,001000001010010100000000,101011000000000000000000,1000110000000000,0001000000000000,00000110,00000000,00000000,00000000,00000000;0001001011000100000101000011001111100101000100000101001000011000100000000101000100001000001000100100100110101100100110010101010011011101100010000110000000010000100100011000101100001110001000000001100000100010110011000100111010001010100010100110010000111100000000000000000000000000,11001010010010000010000111101001111111111010100010010010001100000010110000110001101101001110011100011011010100011010110110111011000000000000000000000000,110011110011100110110101101000001000011111010010001100101000100101011101110001101000100100000000,001010100010101001100100011101010000011100011001101001010100000100000000,00100100001001011000001100010011110001010000000000000000,1100100010110000010100111010101000000000,10001011000000000000000000000000,011101010100000000001010,0000000000000000,00000000,00000000,00000000,00000000,00000000,;50;100;50;100;0.011112689971923828;2;1
000000100001111101001000101000010000010000110000001101000010001011001100010010011111010010000000111001100000001000011011100000010010000101110100000111000110010001110110110010001100000010001100001000100111110000100010,11011110010000001000010000111011000101110010000101111110110101111100110111110001101111000001100000001000000000000000000000000000,1001100110111001000111111000101111001011101100010101000000011000000000000000000000000000,1000001001000100010011111010000101010011100110000111010100000000,001010000111110110110100010100110000000000000000,1010011111101101000011001111101100000000,000010001011110100101100,001101100011100100000000,1001110100000000,1010010111010100,01010011,00010001,00101000,00001010,10000000;1000011100011000100001011110100111010010000010010100001000100010001000001000010000001010010110110010110000011100100010010100111101111100010110111111010001000000010000100000010001100100101101110001100001011001000010000000000000000000000000000000000000000000000000000000000000000000,10011100111000011100101000100000010010111000001111110001000010010000101100111101111011000001100101100100001111100000000000000000000000000000000000000000,000100110111010100011111100010111100110110101101000011010110111010000000000000000000000000000000,001011111110011101000000010001001101011011010101011011000000000000000000,10010101111011001110001011101001000000000000000000000000,1110111111010011111000000011001000000000,00011110010010101100100100000000,110110100010000000000000,0011001000000000,00001100,00000000,00000000,00000000,00000000,;50;100;56;83;0.01205134391784668;2;0
100100000100110110101011100101000011110000000000001010100000011010000010111100110001101000001010001100010001100000100110110010101101100010010001000010001101001011010000011000010011000010011000000000101001010010000010,00011111001110001110010110011011100111010001111001010001110111101110001100000010010000001011111101100110001001000110000000000000,0010001110111100100100110101000101010011110010000100100011011100010100100111110100000000,1111001100010101101000001101110001010100101011010111100110110110,001001100000100111001001100110011001101000000000,1110000010001100010010110000000000000000,100001000111101110100101,100110111000001000000000,1100001010011000,0000000000000000,00000000,00000000,00000000,00000000,00000000;0010100011000100100001000000001000010000010101101110000010011000000000100000000101111001011101100010100011000001110010010100000101000010000100001101011011001000000001000111010110001110001000101000011101101000000000000000000000000000000000000000000000000000000000000000000000000000,11101010001001100110110101011010000100010001010100010101110010110101001000011100000001000000111000000000000000000000000000000000000000000000000000000000,100001000010011101111001001000100000001011001011000001110101111100000000000000000000000000000000,001000101110010000110001001001011011000111001110000000000000000000000000,00011001110101100110111100000001000000000000000000000000,0111100001011010110100000000000000000000,10100001101000000000000000000000,000100000000000000000000,0000100100000000,00000000,00000000,00000000,00000000,00000000,;50;100;46;115;0.016099214553833008;3;0
010011101010111100001010010010000011110111101000010111111100010111010010000000000000010000101001000001010010000100100110011010000000110101001010000101100010001010001100101000011100001000010010010100100101000100010010,00101010000100011010001001010001100110111110110001101010011001011111000010101111001101101011010100101110100001010000000000000000,0010101010110001110111110000010100011100000011101111010110010001100110110000000000000000,1100000001100011111011100010011111000100001010100010011000100010,101100100101000001001011010111010000000000000000,1010011000001110011010010110111000000000,000010101010111111110010,110110100000110111100011,0100100101101000,0110010000111100,01100001,01010010,00010000,10000000,00000000;1001101100110000010011000111010100101110001000111001001010011010000010110100110001110100000100100000000000000111001011011100111000100001000100001001010000001010100000110101100010101001100010000010010000000001000011101010011100000100111000010010000000000000000000000000000000000000,01101101110101000100110101101010001001001111100101010010110110111100110001001001101011010001010010000100010010100001011110110110001011001001001100000000,011000111100000000011010010101010001000010101101101111110111000000000000010110010001001101111101,010110111100000001001011111000000010110000100101011001011010001011010101,01110010111010000100110000001000111100100000000110111011,1010010000111001001000111011101100000000,00110000010100011101000001010001,111011010000100000000000,0010100100000000,00001010,00000000,00000000,00000000,00000000,;50;100;57;85;0.014083623886108398;2;0
110101100100010100100011000101010111010101000111010001011000001101100010111000011100001000001010100000001010000000101010000111000110000001000010000101010000110010001000011100000000111001110011000001001111100010010011,00110111101011100011010100010101001000100110101110011111111110011100111000011101111000011001110000000100100000110000000000000000,1111110010110000000100110010010010011011101011000000001011110011110010011001000101100011,1111011001001011010111011101001001000000001101101010000000000000,100000011100111100010100001100110010010000000000,0100100101110111101000100000000000000000,101001100101001001010011,100000010001100100000000,0001011100000000,0100011000000000,10000001,00000000,00000000,00000000,00000000;1100000010001100100000110100001000010100010111000100001110001001101001001100011000010010001000001100000101100000000010000010000101001110000100010010001100001000001100010001000010001101010100001100000000111010100110110000000010100000100011001001110000110101010000010000010010000100,01011011000010000000001110010000010011011011110110100101100110010000010111110000010100100111100011011000100000001100010101110001010100000111000111000010,100001000000011001010001100100000111001101011111101100010010100111011001010000111001101000001000,000011000000001001010011110010111001100011001000001001001000110100000000,01100001001100111001001110110000100100100100100000000000,1111000100000010111010010000000000000000,00000001011010010110101000000000,000110010100100000000000,1000101100000000,10100000,00000000,00000000,00000000,00000000,;50;100;51;100;0.014068841934204102;2;0
010000001011100000100011000000001011010001000001110000011011110000111001011100110010101000000000101011000010100001100111010100100010000001010001100110101000000000100110100001000101000100010111001101100011000000001010,10011010000111011101001101010011100100001011101111111010100101101101010011010011001111000001101011001100010000000000000000000000,0011000010000011111001010001110110001111010110000101100001110111001010010010001100000000,1010000111001100010111010010001111111001001110110110111000000000,101110111000000010111000100011000000111000000111,0000000010100111010000111101111100000000,010001001000001100110110,000001001001010000000000,0100000100000000,0000000100000000,00010000,00000000,00000000,00000000,00000000;1001000000011100010000110011101011001000000110100000011111011100101100011000100111111000000011111000010111001001101100001001101011001110100000000010001110000100000000000110000001011010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01011110000001111011110100000011111111010010101111001011110011110111001011011111111000100000000000000000000000000000000000000000000000000000000000000000,010100011100011101110110110000011100001110101111110110111010111010111000000000000000000000000000,111000011010111011101100110100000011101111011010000000000000000000000000,11010000001111001110110011010110010111010000000000000000,1010111110001101101101000000000000000000,00001101000111010011111000000000,010000110000111000000000,0101001100000000,00001111,00000011,00000000,00000000,00000000,;50;100;42;81;0.011072635650634766;2;0
