cascade1_bitstrings;cascade2_bitstrings;r1;s1;r2;s2;duration;total_tries;identical
010000100111110100110001001010010001001011000000100011000000100000110010001100110011000000110010010010001000110000100110000001100010011000001000110110000011111100110101000000000000100111100000110101100000011001010101,110010011010100010011000110011101100000010100111000001000110001010000010011101111000101101000100101001001111111100000110,011011001010010100001110101111010001111111001111100010100001010000010011000011010000000000000000,1010101101110111001100010110111100000100010010100010101100000000,1010100100101000111011110100111001110001000000000000000000000000,1011001100111100101001001000101101000010,1110010001000110001010000000000000000000,010010010101010000000011,1101100100000000,0101111000001010,10010011,10010100,00110000,00000000;00101100100110010000001101110001000010100000010000000110100101010001000100100001111000000011000000101010111000000000010100001001100011110100010000010110111000110100000101001111000000011111100101101110000100000000000000000000000000000000000000000000,01100000010010001111111011111100000110111110011110101100101001010111011110101010011000101101011000000000000000000000000000000000,0101101001000110100011110110110101000010011100000010110010111100111110011101011010010101,0111010010101000000000010100001110001100101111000101110100000000,011100000000110110101000010001110001110100000000,0101001100001011010011000000000000000000,010100101000001110000110,000110100000000000000000,0000111000000000,00010000,00000000,00000000,00000000,;50;100;50;100;0.009552717208862305;2;1
111001000000011011010010100000011100001010010011100110000001011101001000001000001010000100011000100010000110010011010010100000010001111000110110000110010101100101101010111001000110011010000010010010010100000100100001,001111101111011100110011001110101111011010111101100000101100110000100010011010000010100101000010100100111100111010001011,000100010101010111101111111010001010010100011011000000010000000000000000000000000000000000000000,0100010100010111000000110011001000011011100110011101101011000011,1101000001100110101011011000011100000000000000000000000000000000,1010001110100111001000000001010000000000,1000100100000101000000000000000000000000,100101000000000000000000,0100000100000000,0000100000000000,00000000,00000000,00000000,00000000;01000000011010110100010010001010101011110000111110111000101000000100000110110000000001000100110000100001000101001010100100100000000000101010010111011001000100100111100101001010100000001001111000000101010011100011101000000000000000000000000000000000,01010010001001110011001010101011111011001011110000100110011111010010010011000111111010011010010110001000000000000000000000000000,1010000001000010011110101101100001011000101010110100000100100110000111010000000000000000,0100000110011110100001100001110101010110101100010000000000000000,010110001110110001001001101001000000000000000000,1000010101000001000000000000000000000000,000100000111000100000000,101000000000000000000000,1010000000000000,00000000,00000000,00000000,00000000,;50;100;50;100;0.008514404296875;2;1
110000110000110110100010000001001010010010100001110000100000111010000100111001000011001000100000111101011000101001000000000001011001000100010101110100100001000010011000100100001111001111001100110110001110000000010000,000011110000000101110101010000000010011101110001111110010001000001110111010101000000101111110010000010100000000000000000,110001000001111010010000011000100111001111011110100110111001101000000000000000000000000000000000,0100111101110111100000010100101110100100101000010000000000000000,0110011011010111000001010000000000000000000000000000000000000000,0111100011110000001010000000000000000000,0010001100000000000000000000000000000000,111001100000000000000000,1000011000000000,0100000100000000,00000000,00000000,00000000,00000000;10001111000000110100100101000010001001101000000010011110011010100101010010000100100010010111111101000000001000000001000011000000010010111001000100010010110000010011100011111000010110100000100100100001100011001000100000000000000000000000000000000000,01111011111101000000110011101110111001001011110000000010001001010011001001101011101101100000000000000000000000000000000000000000,0111010010000101100010111100110100000001111100100110100110001010010001100000000000000000,0010010011001010111100001110010111100110000000000000000000000000,100000010010110011100011000011010001110000000000,0101011000000000000000000000000000000000,001010101101010010001100,000000010000000000000000,0000000000000000,00000000,00000000,00000000,00000000,;50;100;50;100;0.011055707931518555;2;1
000000000100110010010010010010001100000010100101000001010010000010111010000010010001010101010001011000111010100101111100000110010011010100101110000110011001000000011001000100001101001001001110011100000001001001100000,001111011100000000111011111100000011011111101001110010001110001111010100000010011000010111111110000000000000000000000000,011010101000010110011011000000000010000000010011100111101011111101111110010110100000000000000000,0101111000000000000010101110011111111111000000000000000000000000,1001011100010001001000001100101011101001100110010101000100000000,0011100100100100001110010000000000000000,1101000111111010101001000000000000000000,001011100000000000000000,0101100101000100,0001010000000000,00001000,00000000,00000000,00000000;01000100000011001000100010001010101000000001110010000001110101101000011010111111100001100000000100010000100100111000000011101000110001001011011000011110000011010001000000000000111101111100010001010011010110100000110100000000000000000000000000000000,10000011110100100100110001101000110110111100000111110010100111000010011001100101011101110001010001111100110001101000010100001011,1110001110000001000111111010101001100011010011101000011100000000000000000000000000000000,0101111011000000111001110101001110100100110111000111001110000000,100011111111011100011100000000000000000000000000,1000101110011000100000100100011000010110,100100000111111000000000,111001001010100000011101,0001110000000000,01000110,00000101,00000000,00000000,;50;100;50;100;0.009564638137817383;2;1
010000000000010100001110000101100101100001010000010100001100010111011101010010000101011010010000010000111110000111011001101110001000110000001001010001011111001110001101000010100100011001000001000010000001100001010010,111010100001011111001111100111110001001000001110000011010001011010010000001100101101111000111000001110111010101000000000,001011100101100001011101000111110100001000100100010111110110110100000110000000000000000000000000,0110010001100100101010000111001010010111001001000101011000000000,0101011010100101010111000000100101011111000000000000000000000000,1011011100000110100001100000000000000000,0011101001000110001101010000000000000000,100111100000000000000000,1001110011000010,1100101000000000,10111000,10101000,00010100,00001000;00010010000001001010000001100101010010001101001000101110111110000000000101010000110000001001110011011100001000011010111110011000000011001011000000001001110010011001001000100000101000100010000001001101000000101100010000000000000000000000000000000000,00111010100000010000110011011100001111000011011011011100001000011001010101001000011110001000000101001111000011010100001100000000,0000110100001101111001110110000101100100010111000101001110100011000000000000000000000000,1110111000010010110010110110001110101000111110100000000000000000,001111011100010010100100110111101010100000000000,0001001011110001111000110000000000000000,011111010100000111001111,001000001001001100000000,0001100010000101,01000000,00000010,00100000,00000000,;50;100;50;100;0.009018182754516602;2;1
000100010110100000001110110110110010000110100001101100000100101001011001001000001010000101011001110000010000110100011000010000100100111011011001010110100011000001010000000001010110001000001011000110100011001001100100,010100111111011100011110001101011111011101010111001101110101110110100101001001001100000001010101000000000000000000000000,111010100011001100110000000101011001111010010100100011100101101001011001101011111010010100000111,1110000111101000101011101110110101010101000000000000000000000000,1000100111010101011010110001010111110000011000101101101000100101,1010101100010101100110100010000100000000,0010001100110110010001000010111011001011,010110011100000000000000,1000111110000001,0000100000000000,00000101,00000000,00000000,00000000;00001000000110000000101110111100010001001101101111111000100000101010110100000000111000001001000111101010000010000000000001001001000000011011001000000110111010001100110010101000000010000000010101010000000000000001100001011110000000000000000000000000,01001000000010010101111110001000100011001100101101011000010001001010111000111110101110011011101100000000000000000000000000000000,1110100110010110010101011110010100001010011000001000111000111111000001110000011100000000,1101011101011100000100101010010011101011000000000000000000000000,100000111110110010001001100010011001100000000000,0110110000110110000110000000000000000000,100001110111010100000000,111011000000011100000000,0010100000000000,10000100,00000000,00000000,00000000,;50;100;50;109;0.00903630256652832;2;0
010001001010000001000101010011001001010001100011101010100001100100001010101010000000110101100001000101110101001000010010000010000101011001110010110011110001110000101010100101111000110000000000000111010100001000001110,110100100100111001101001101010010010111001000010001110010001010011010010010010011100101100011100000000000000000000000000,110100011010011001000101111001000010011110100101100001110000000000000000000000000000000000000000,0001100110100000011101000101111011100100101110010000000000000000,0001010000010111101001110101100100000000000000000000000000000000,1011101100101010001000010000000000000000,1010010000001101000000000000000000000000,100010010000000000000000,0010000000000000,0000000000000000,00000000,00000000,00000000,00000000;00001101010110010001010000101000110010100101000110010100010110110000000000000100100000000000100101010011010100101111100100011000010000001100100000111001011010010000001000111011001110001000000110000100000110000000011100101101000111111110010000000000,00001110000111100011010010011001100101111000010001110010110010010100010010010000100111110111110010100101100100100000000000000000,0100111001111000010001101011010010101011010011000001001111001110010110100000000000000000,1101111000010110100100110000100101010110010011110100110000000000,001111000100100101010100010101000000000000000000,0100011101101100110010100010010000000000,000001001101011000000000,010010001100101100000000,0001100000000000,10000000,00000000,00000000,00000000,;50;100;50;82;0.011030435562133789;2;0
111000110010101010010000011011100110110100000011101010000010001100001101100000001000000000010100111110100011000000010100000000000110010010000100111110010001110100001001101100110000110011010100000110111010100010010010,111011100011100011101000000000110101001101111010000101001010001110110011011100100011000000000111111000011010010100000011,110001011101100001101011001001001101110010101010010111011011110101001001000000000000000000000000,1100001011000001001010011001011111110010011010001101110000000000,0100001011100100101101001110010100111101000000000000000000000000,1101011101000111000100000000000000000000,0110001010100011000111010000000000000000,101100110000000000000000,0100011011001010,1100010000000000,00011101,00010000,00000000,00000000;00001000000100011000010000000001000111000001011001010001001000011000010110000100000000101100010011010100010001001111100000000001010111010001110010010110001001010100110010000000110100011110100101010100110001001011101010001001000000000000000000000000,10111001011000000101000101010010011010101000011101111111010001010000110011110000100011010101010110100010001100000001100001110010,1010111100000011111111001100110110001000010011101101010101110111000000110001000100010000,0000001011110010100101000110000110111000110001000011001101100011,011110110001101010110010110100000100110000000111,0010111001100110100010110000110100000000,000000001100111010111001,111101101100100000000000,0001110000000000,10000010,00000000,00000000,00000000,;50;100;57;105;0.01003408432006836;2;0
011000000010001010000001000000000100001001000110011001100110010000000001001111011110000000001000101100011000100001001001101100010110100000100001110100111100000010000000010110010101011000111010100010001011100010000011,110000100001001001000100100001100110111010101011100101110011011110000100001000010100110111001101000000000000000000000000,010010110101110011000101100100110000111100010011001101101101011100000000000000000000000000000000,0001011010110000010011111101100010110011100001011110110000000000,0010101100011101101010001000101000000000000000000000000000000000,1001000100001000110111010111011000000000,0110101011010001000000000000000000000000,001010100110110100000000,0011000100000000,0111001100000000,00001100,00000010,00000000,00000000;01010001000010101100000000101010110000110000001001010000000000100000000110101000010011010100100100000010000100110110010100001000111000101101001101110100011100100110000010110000000000000101000001100011010010000000101111100100000000000000000000000000,10110000000000101001000110110110110000100101000100111000100011010100100111111010100110110111111011000100000000000000000000000000,0011010110110011111000110001101110111000000010110111010101010011101100011000110000000000,1101101010011101100100100001011001010010110100011000100100000000,011011100011001000010100010000010000000000000000,0111001011110110000000000000000000000000,000001100111111000000000,111011100000000000000000,0100010010101110,00110101,00000011,00101001,00000010,;50;100;47;93;0.008018255233764648;2;0
111010100000001011001110100001000000001101101110100101010010011000110001101110000000101100001010000000110000000110001100001000000101100011010010000001111000000101010011000011010100011010011001000111000010001010001100,100000100010100101101100100101000010001110100111001011100111110100100010111111111001101001110110010100010000000000000000,101110111011100101110101010101011001010000001010101001011010110000100110000010010000000000000000,1111000010110010100101010000101100111001000000000000000000000000,0101101011111010010110010100000010110111000000000000000000000000,0011111110011100100101000000000000000000,0010001011100011011100100000100000000000,011001010000000000000000,1110110101000100,0000001100000000,01100001,00000100,00000000,00000000;10110001101010000111001000001100010001011000010100010010000011000100010011010100001110000111010100001110110011011110111100011000001000011001011010100011010001010000100000111010010000000001001010011000010010000010000001000010110100000010000100100100,01000011000001001000011010110011011111100000000111100100010011100100011100000001011110111101001000011001110000001010110100000000,1011110000101100100100100000000110100111011000000110010011010100010110111001111000000000,1001001001011000100001100110111001100111111010000111011000000000,001110100001101100110111011000100110100000000000,1000100100110100000111100000000000000000,100101011010101100000000,001000010100111100000000,1000001000000000,00001000,00000000,00000000,00000000,;50;100;41;119;0.00902104377746582;2;0
