r;s;rhat;p;k;duration;bitsize;lookup1k;tries
20000;2000;131072;0.53;1;5.386417865753174;753128;0.0768120288848877;1
20000;2000;262144;0.53;1;9.566275119781494;1506664;0.07162904739379883;1
20000;2000;524288;0.53;1;15.224545240402222;3004952;0.06444430351257324;1
20000;2000;1048576;0.53;1;24.075663805007935;6008824;0.05948209762573242;1
20000;2000;2097152;0.53;1;41.64962100982666;12023456;0.05929279327392578;1
20000;2000;4194304;0.53;1;79.21130609512329;24026600;0.057615041732788086;1
20000;2000;8388608;0.53;1;152.92781901359558;48065176;0.05654120445251465;1
