cascade1_bitstrings;cascade2_bitstrings;r1;s1;r2;s2;duration;total_tries;identical
110001001000110011010001,0000111110011010,10010001,10100011,01000000,00000100;011001000100100010010001,10001001,11000011,00000001;1;7;1;7;0.0010006427764892578;2;1
010100000010100101010000,01010001,01001100,10000000;100000100010010110001100,0101101000110000,00101000,00001000,10000000;2;3;2;3;0.0009882450103759766;2;1
000001001001101010000111,11110000,11000101,00100100,01000000;111000010010001001101000,0111011010110000,01011110,01011100,10101000,00001000;3;10;3;10;0.0008769035339355469;2;1
000110110010001010000100,1000001111001000,00001000;111010001000000100100000,00100000,00000101;0;2;0;2;0.0013031959533691406;2;1
010010100000000011110010,01000011,00000100,00001000;101010100001001100010011,100110110100100010011101,1101010000001100,01000110,11010000;0;9;0;9;0.0012869834899902344;2;1
000101111000101000000011,0001100111000101,00011011,10011000,00100001,10000000;100101100000011000000110,1100001010001001,01000010,00001000;2;6;2;6;0.001110076904296875;2;0
000001000001000011010111,0100000101000011,01010100,00000101;111010000001101011100000,0111110101000010,10001100,01000000,00010000,10000000,01000000;1;3;1;3;0.001001119613647461;2;0
000111100110000100001001,0001110010011000,11100011,10101000,01000100,00000100;001001011100010101000000,11000001,01111000,01000100,00010000;3;6;3;6;0.0009946823120117188;2;0
000001100100100111100100,01100110,10010100;000001101001000000011100,10110010,11000000;3;4;3;4;0.0005118846893310547;2;0
000000110101000000010110,0111001100100110,10000001;110001001100011100000010,0001110001000000,00101000,00101100,01000000,00010000;3;2;3;2;0.0020334720611572266;2;0
