cascade1_bitstrings;cascade2_bitstrings;r1;s1;r2;s2;duration;total_tries;identical
110000011000011010000010,01111110,00111001,10000001,00001101;010000010110110000010010,01011101,10000011,01000001,10000000,10000000;4;10;4;10;0.0;2;1
000110100100000101001110,1100110000000010,00010010;000100110000101001010100,1100100000011110,1100000001001100,00100000,00000010,00001000;2;7;2;7;0.0005156993865966797;2;1
000100001011010010011000,0111000010100100,1101100000100100,00100101,10001100,00100000,00000001,00000010;010100110000011000010011,0101100110010101,01001000,01010000;4;7;4;7;0.0013484954833984375;2;1
001000100010110010010010,1101101010110100,0001001111001100,11001011,10100111,11001100,10010110,01000001;000011001101000001110000,00101010,00001110,00001000;2;1;2;1;0.0006923675537109375;2;1
010000100001001000010011,0101110001011001,00101101,00101010,01001000,00000010,00101000;000111011000101000000000,1111000001101000,01001100,11100111,01000010,00001000;3;7;3;7;0.000997781753540039;2;1
011001001000011011100000,1010110001000101,11010011,10010010,01100000,00010000,00100000;000101001110110001100000,10010100,01000010,00001000;1;9;1;9;0.0020067691802978516;2;0
000000110010010000101100,1100001000001110,11100101,10000111,01010000,11001000,00101000;000101100110000101010001,0001100111001110,11001000,10111000,10111010,00011001,00000101;1;3;1;3;0.0010089874267578125;2;0
000101000101010000101000,00110110,0000011011000001;001010010010001000000111,01010100,0111000010001010,01000000;5;2;5;2;0.0009925365447998047;2;0
111100010000000001011000,00000111,10011010,00010001,00000001;000011000000011001110100,0000101000101100,10101001,00011000,00010000;3;2;3;2;0.0009925365447998047;2;0
000101010000100011001010,01100101,01001010,10010100,01001010,10000000;000010100100110000011100,1101110000001000,00100001,00010001,00010000;4;2;4;2;0.0009925365447998047;2;0
