cascade1_bitstrings;cascade2_bitstrings;r1;s1;r2;s2;duration;total_tries;identical
110001010010100100000100011000010001001100010101001100000101100001100100010011110110010101010010001010110010010010011010000100011000001001000001011001010000010011101011110111010000000100100001001100000011100000101110,00001100101010011111101111000110100110101110110001001111011110000101100010001000010111110101100001010000,111111101001001111001000110001101111000011100001001111000110101001011000,000111011001100110010000100100111101001010101110,1100101010100010000111111110000010011000,010010100101111101100010,110110000010110011011010,0000000101101001,10110101,1100010000110101,00010001,01000001;000010010010000010011000101010000001100100011011111000000100001001101000111000000001010100101101000111001100100000100111010100110101011000110011110000101100000110011100011001000010110100010001000000000000001101010101,111010101100110010101010100100111011110011100100111001101001001110110001111010111000000101010101,00011000010011010000111010100100000111111111100110011110000101101100110110110111,01000111011010010011110111000110000000111000000110011011,0101101001110001100010101010111100100010,0001100000010111010110001011001010111010,001000100100111101011100,1001000100001001,00100111,00110010,00001000;50;100;50;100;0.009207725524902344;2;1
100010111110000010110000110011101001000010000000100000011000111000000110010000000001000110101000001001000011000000000000000011000010011000111000000011110011100100001100101111000010010010100011111100001010100001000101,1001001110000101101010010010110100110011001101110100100001101101110110010100000001100011,000000100111101010000011000000011011000110110101101010100011111110001100,0011111001110001111111001001010111100000,0101100001110011011001100101110001001101,1011000101101100,000010010010010001101110,10000111,10111001,00010101;100000001010000100111010110010101001010011000100000000100001011000101110000100110001011100110000010101010110010010000010001111000000110010101001110000011100000100001101011010001100100010011000110110000001011110101000,1011001110111001111101111000011101111100100001000101011001100001011000111101110001011001101100001111101000100100,001011000000010101110100100000101101110110010111110011011110011000111100,1100111101100100010100001111100100001110010101010101100001101001,1100000000101111101000011100011010101110,111110011110000000110000,001010101100011011010010,0011110101101010,1001011010110010,00101010,10001000;50;100;50;100;0.015132665634155273;2;1
101000010111010011000000010100110100001000010001011110010100100010100110000101011011001110000100010011010100001000100000000011101100010000001111000001011010010010000110100011000011010101000101010010000001011000000110,1000110100010110111100001001001111110000110100011101111101110101000100011100101011110000101001001001101101001001,011100010000100011001100111001101010000100011010010110111100011011011111,10110100100001111100001100010110010101101001101110000101,0000001010000001110100111010010100101000,011001101001001010110010,1010010110111000,1010101000001110,01111000,00000011,00010000;100110010100111100000000001111010111011111000100000111000100110010010000101001100010011000000101101110110110000110100000010100000010100110000001100000101101100100101000000001000101001000000010111000000100110010011001,01000101111100101100000101110101101101110111011000000010011011000100010111111110001010101110001001000011100001101001101100001100,00010010001010110110010000100011101011011111110011010101001100010111000000001011,1010010010101110001101011001001001001101010001000100101010010101,00101001000001100110110100100011,00110010001011110111000100110100,1001100001010111,0000001110011100,00010100,00000001;50;100;50;100;0.024205684661865234;2;1
100000111000110010000010101100100010100010110000011000000110101101010010101100000010000000000000100001001000100101000110000000000011001111000001001100010000111101100110011010011100010110001000011111100010101000100010,010100100010011110011101110111111101000001101001101101001000011101011101000010001101010010111001,0111110101100100011110001010010010100011000101110101101111100001,010101100110111000110010110110000011010100101001,0101011101100010000010111101111010000010,00000111110010100110100010001101,1010111000011001,1100011010100101,1000001111101000,01011110,10000111,01000001;000010010000010110001010000110011001100000010001111011000101000010100000000101000001011101001100000100101000000100101000100111011001110101001101001100000010010010101110110001110101011000100010010010101100001010000011,1000000101110100010110101010110000101101001100001111011000001010010110000010111110010111,0010110000001111011000001001101001001110111001001010110110101100,0101010000010100011000011111100111110011,00010110000010100111011010110100,001000100010101100011110,0000100100111110,0000101000010011,01001001,00000110,00000100;50;100;50;100;0.012073755264282227;2;1
000000101110111001000000001000111010000000110011101011000010010000100000110000100001011000101100100010100011100110000000000000100001001000101110011000101011000001010010010100000001101011011111010100001000100101110111,10010100001001010010110011101000011111000111111110110010000010101100001110110010100101001001110011011110,11111010010110000001111101010001100101110000010101000000100100100101011101011010,00111000101111101100100100101010011100010110101110001111,00011110111001001001011101110011001101011000010011100111,0110000110111011101111100010010000111001,0000101100000010001011110011101001100010,000000001111100100110010,100100000010010011010110,00000001,00000100;000000000111001011000001001100001000001010100010111000000001010101011000000011111100101000001001010110010001000000001111111000010010001111111010000010100001011101000001000010011011101110011011011011001000100000000000,11001011001000100001111100100001000111001000010011100000000100111011100110001101100101011011101100001001,10100011010011110010000101011011011001101010111110110000,011000100101001001001100000111110001101110011101,00011001001111000011000011001010,000001101001010100010010,000010010110111010001101,11100001,10100011,00000100;50;100;50;100;0.015059709548950195;2;1
110010010010100000010000110001001001100100010000000110110001011111010100000111110010000001001000111010001101010101110101001010010100000010000100100010001110001001010100010001101110101001101000000000010100110000001101,11011010001100100001101101100111110100100001011110111001101101010001010001100101101010100110110001001001,00111000011011100111010101000111010100100001100010000111100000111110110001100011,00010011111000100111011000100000001011111100010010000110,0100100101101010001110010000110001101101,010110010110000001100010,0001011010001110,00101011,10001001,10000000,10000000;0000101001001010100110100011001011100001000010110010000010001010010100011111001000101111011100101001000011000011010101010101101100011011000010000100110101010100010101100000000000010001001010101011001100011000,011001001110011001010111001100000110010011110101111000110101110101011011001111111000010101110101,01001010000010011101010111101111101010111001011111100001001111001110100111001001,010110111001101111010111011010010111100101101111,0111000101110001100100111001000101101011100110011011110011001100,101100110000111011001111,01011000010111101110101001111101,0111100001001101,0111011110010111,0111011011000100,0010011000001011,10010110,00001000;50;100;53;118;0.014114856719970703;2;0
110000001010110101101101101001000010001010011000100000100100101101001001010000110000001101000011100100100101001101011100000000100010000011100010111100000010100001010000110001101001010000001001110000010100001001110011,1101101101111001010010001001011011001010100011001011101011011100011011000101011001111000000111111110001001101000,0111110110101001001000000100110111101111101111010101010100101000,11010010011110100000011010010111000100111101101000000110,100000001001101101100101,10100000111011000101101100010001,1010001100001001,100110010111000010010000,01100000,01100100,00011000,00001000;1000100000010001101100111000100011000011001010000001100011001000101010110000000001011000110000010101110110110011011000101000000000000010111001101100010101001101110000010000001011100010110011010000011010000011001001000101001100010010,00000010101101101100100111100100001111011001111100100110110100110001100011100100011111110001011011111011,1101001111010001111111010011100111111110000011110000110101010011101101000100000111001110,0110001110111000110110101001101111000111111000010110010111010010,10110010110100000110010100110000010011001110111110011111,00110111000001011010100111110111,10111001101111001100011010010101,0010111010011101,101000000101001000110111,00111110,1011110000110001,00100011,10000100,00000011;50;100;51;103;0.010069847106933594;2;0
001111001110001000110110010100001010001111000000110110100110011110010000010001001010000100000100010111011011000100000000011101010011010111011111101000000000110001000000100101100010001100000010101100000110011010011001,011001010110100001100010011011010010110001111001000100011101110011101000010001100101101101000010001110001010011101001010,01000001110101001010010100010100110010110000101100100101011100100011010111000111,11110101100011001101001110000101001001100100011100111101,0100101000111010100000010010111011101001,101010001100101010011001,1011110100010011,0000010101100011,00000100,00000100;1101100100000101001010011000000110000001011100000010010000000000011000000000010101111110000101111000101000010000110011001000010000111111000101000000100111100100110010011100110001000000,001000010000111100101011101100000101110001011100111011100000101111100001101000111010010100011001,00101111110010001101011010001000101111111010010100101101,010101100011100010000100011100111111010100001110,101110110100000101100000,1001100001111100,0000100100110010,00000001;50;100;52;89;0.010585784912109375;2;0
000010010010100010100100000001100101110101011000110000100100100101000000000111101000001001010000101001010011000001111001011010010011110010100000010101010011100100100100001001000010101100000100000110111001011100100101,1110000111000011011000111111100110001011110011010000001000111011101001010010001100110110110110011101000000101001,0111110110000000110111101110110111001011100000001010000000100101,11001110101100001001001010000011110010001011010110001000,001100111110001101000111,10011101100100110011111000101011,1110000100110011,0000010110010010,01001010,10010001,00010000,00000100;00111010010000010010100101011000110100000001010000000000000001001101011110011100001000110101100000100000010110000000000010000000001001010000011100000101111001100011101011010100000110010101100000100100010100010000001010011001001111111111111100100000,101100110001010010000100100110011001101101111001001001010000110000100001001010101001110010001010111011010100110011111011111010100100110111101010,1000110011101011111100101011101000000001010111110110001010010001010110001011010001010000,0011001000011000100001000001011101011001111110011110110100000110,1000001001011011011110101001100110101101,01000001010011001101010010111100,010101100010110100101000,0001110011001100,1000001111101000,01000011,00000111,00001000,00000100;50;100;59;113;0.00906229019165039;2;0
001001110010100100010111000001010000011000010101000111100100001101111001100110100010011001001010001010000001000000000011001010101110000011001010001110000000100100111101000001010101000010000001001011010000000010001111,011101011000111010101001001000100011100010110111111001011000001100110100101111000001001001001111111111001001000101100110,00100010101000001001000001111010110011000011111101001111000101101010111001110000,011010010001101100000100111000110111110101001000,1000011111110110000111000001001001100111,011100000110110011110000,000100000000111111011000,11100100,01111000,00011000;10011011011100011100001100101000000000001010100110001011001011000100001010111101101001100001001010100001101011111001010010000000010101010000010000001001100001100010001000011001,01011111100001100000100010110010000000001101110100011001111110010100100100010010,10001010010100100110111001100100111100100100010000110101,1000010011111100000111100100101000110101,11101010101101010000001111001000,101001001110000101101000,100000100011101100011010,0100010001001011,00001101,00001010;50;100;52;91;0.010300874710083008;2;0
